# X Y Z i
284214.50 5036282.40 -2.00 0.000792
284234.50 5036282.40 -2.00 0.000745
284254.50 5036282.40 -2.00 0.000845
284274.50 5036282.40 -2.00 0.000877
284294.50 5036282.40 -2.00 0.000888
284314.50 5036282.40 -2.00 0.000975
284334.50 5036282.40 -2.00 0.001243
284214.50 5036302.40 -2.00 0.000847
284234.50 5036302.40 -2.00 0.000859
284254.50 5036302.40 -2.00 0.000878
284274.50 5036302.40 -2.00 0.000825
284294.50 5036302.40 -2.00 0.000890
284314.50 5036302.40 -2.00 0.000978
284334.50 5036302.40 -2.00 0.001072
284214.50 5036322.40 -2.00 0.000838
284234.50 5036322.40 -2.00 0.000637
284254.50 5036322.40 -2.00 0.000686
284274.50 5036322.40 -2.00 0.000778
284294.50 5036322.40 -2.00 0.000863
284314.50 5036322.40 -2.00 0.000934
284334.50 5036322.40 -2.00 0.000989
284214.50 5036342.40 -2.00 0.000671
284234.50 5036342.40 -2.00 0.000530
284254.50 5036342.40 -2.00 0.000503
284274.50 5036342.40 -2.00 0.000721
284294.50 5036342.40 -2.00 0.000829
284314.50 5036342.40 -2.00 0.000895
284334.50 5036342.40 -2.00 0.000941
