64
# x y z
0.090 0.430 0.000
8 11 22 25 4693.197945 0.654157
8 11 23 26 5810.553820 1.209695
8 11 25 28 -1268.113420 1.434731
8 11 27 30 -4028.962215 0.771074
8 11 28 31 -3724.917725 2.016160
8 11 29 32 -2762.150645 0.845184
8 11 30 33 3227.926205 1.848702
8 11 31 34 3826.844305 1.956334
8 11 32 35 4007.446100 1.657780
8 11 33 36 -972.837604 1.541604
8 11 34 37 -1759.955920 1.489407
8 11 35 38 -2386.872595 1.203078
8 11 36 39 -2446.710295 1.617536
8 11 37 40 -1837.174615 1.146249
8 11 38 41 2271.440230 1.963690
8 11 39 42 2759.726820 1.544972
8 11 40 43 2763.891390 1.429465
8 11 41 44 -862.338205 1.438097
8 11 42 45 -1245.242525 1.511857
8 11 43 46 -1507.122535 1.704336
8 11 44 47 -1632.112775 1.563261
8 11 45 48 -1381.396235 1.849750
8 11 46 49 1687.046205 1.063009
8 11 47 50 2027.060525 1.077567
8 11 48 51 2037.490320 1.084844
8 11 49 52 -752.372549 1.715694
8 11 50 53 -950.853956 1.579183
8 11 51 54 -1103.542485 1.185173
8 11 52 55 -1186.433135 1.698871
8 11 53 56 -1087.853955 1.747528
8 11 54 57 1397.121770 1.641828
8 11 55 58 1609.776490 1.197494
8 11 56 59 1641.843805 0.777639
8 11 57 60 -692.357093 1.772453
8 11 58 61 -825.987480 2.043976
8 11 59 62 -930.992814 1.936586
8 11 62 1 5415.879685 0.925704
8 11 63 2 7493.816125 2.544692
8 11 64 3 8693.089335 2.875863
9 12 10 13 8320.654615 0.518686
9 12 11 14 1438.550300 2.127906
9 12 13 16 -3609.532250 2.121536
9 12 14 17 -6999.180000 2.666414
9 12 15 18 -4004.253655 2.344043
9 12 16 19 -925.442793 1.133552
9 12 17 20 7960.263845 2.131787
9 12 18 21 5189.421080 2.300603
9 12 19 22 1429.520265 0.580029
9 12 20 23 -2154.208130 1.164143
9 12 21 24 -1750.849740 2.649603
9 12 22 25 -4539.323970 2.300790
9 12 24 27 -1460.795330 2.670321
9 12 25 28 3552.264275 2.313599
9 12 26 29 2872.243900 1.397081
9 12 27 30 1538.026550 1.751923
9 12 30 33 -2761.831300 1.159947
9 12 31 34 -2079.308790 1.669297
9 12 32 35 -1382.880665 1.755866
9 12 33 36 1534.449365 1.179039
9 12 34 37 1502.498250 0.707512
9 12 35 38 1093.345105 1.765143
9 12 36 39 686.313180 0.785345
9 12 37 40 254.070438 1.489446
9 12 38 41 -1691.255935 0.921814
9 12 39 42 -1515.599185 0.856612
9 12 40 43 -1176.021950 1.104493
9 12 41 44 877.837771 1.976466
9 12 42 45 906.145516 2.015170
9 12 43 46 769.794401 2.134033
9 12 44 47 636.607460 2.266416
9 12 45 48 449.008696 2.242352
9 12 46 49 -1115.478630 0.398089
9 12 47 50 -1108.475490 0.359952
9 12 48 51 -955.122667 0.788213
9 12 49 52 606.976914 2.523191
9 12 50 53 632.932479 2.342203
9 12 51 54 597.266925 1.941370
9 12 52 55 537.178786 2.483259
9 12 53 56 438.059050 2.382462
9 12 54 57 -881.014645 2.622337
9 12 55 58 -888.401635 0.155754
9 12 56 59 -807.877952 0.257587
9 12 57 60 497.603030 2.740748
9 12 58 61 522.016318 2.958187
9 12 59 62 509.482908 2.806270
9 12 60 63 458.702337 2.305319
9 12 61 64 389.273010 2.290026
9 12 63 2 -3605.756040 1.641733
10 13 11 14 7950.759335 0.243073
10 13 14 17 -8728.996795 0.466413
10 13 15 18 -7142.065970 0.182291
10 13 16 19 -4504.563025 0.624193
10 13 17 20 5721.161860 0.666383
10 13 18 21 7941.806050 0.347574
10 13 19 22 5291.593875 0.843311
10 13 20 23 900.642337 2.132276
