64
# x y z
+.09000 +.43000 +.00000
+.14000 +.43000 +.00000
+.19000 +.43000 +.00000
+.24000 +.43000 +.00000
+.29000 +.43000 +.00000
+.34000 +.43000 +.00000
9 12 19 22 1429.520265
9 12 21 24 -1750.849740
9 12 22 25 -4539.323970
9 12 23 26 -3057.628620
9 12 24 27 -1460.795330
9 12 25 28 3552.264275
9 12 26 29 2872.243900
9 12 27 30 1538.026550
9 12 30 33 -2761.831300
9 12 31 34 -2079.308790
9 12 32 35 -1382.880665
9 12 33 36 1534.449365
9 12 34 37 1502.498250
9 12 35 38 1093.345105
9 12 36 39 686.313180
9 12 37 40 254.070438
9 12 38 41 -1691.255935
9 12 39 42 -1515.599185
9 12 40 43 -1176.021950
9 12 41 44 877.837771
9 12 42 45 906.145516
9 12 43 46 769.794401
9 12 44 47 636.607460
9 12 45 48 449.008696
9 12 46 49 -1115.478630
9 12 47 50 -1108.475490
9 12 48 51 -955.122667
9 12 49 52 606.976914
9 12 50 53 632.932479
9 12 51 54 597.266925
9 12 52 55 537.178786
9 12 53 56 438.059050
9 12 54 57 -881.014645
9 12 55 58 -888.401635
9 12 56 59 -807.877952
9 12 57 60 497.603030
9 12 58 61 522.016318
9 12 59 62 509.482908
9 12 60 63 458.702337
9 12 61 64 389.273010
9 12 63 2 -3605.756040
10 13 11 14 7950.759335
10 13 14 17 -8728.996795
10 13 15 18 -7142.065970
10 13 16 19 -4504.563025
10 13 17 20 5721.161860
10 13 18 21 7941.806050
10 13 19 22 5291.593875
10 13 20 23 900.642337
10 13 22 25 -5807.167505
10 13 23 26 -4621.073580
10 13 24 27 -3235.424105
10 13 25 28 2999.026675
10 13 26 29 3655.326070
10 13 27 30 3176.693830
10 13 28 31 1379.774020
10 13 29 32 241.803667
10 13 30 33 -3458.920920
10 13 31 34 -2935.688105
10 13 32 35 -2312.540040
10 13 33 36 1414.956035
10 13 34 37 1843.774305
10 13 35 38 1759.386540
10 13 36 39 1338.734155
10 13 37 40 625.311290
10 13 38 41 -2087.914425
10 13 39 42 -2052.941920
10 13 40 43 -1737.847795
10 13 41 44 913.428974
10 13 42 45 1103.629900
10 13 43 46 1095.097180
10 13 44 47 999.614044
10 13 45 48 730.189037
10 13 46 49 -1383.836375
10 13 47 50 -1473.717795
10 13 48 51 -1340.295815
10 13 49 52 683.672171
10 13 50 53 778.988574
10 13 51 54 803.298831
10 13 52 55 773.273429
10 13 53 56 651.497881
10 13 54 57 -1098.583365
10 13 55 58 -1167.505255
10 13 56 59 -1107.411440
10 13 57 60 584.741232
10 13 58 61 649.578550
10 13 59 62 673.709827
10 13 62 1 -5798.726330
